,price,volume
209975,209975,0
210000,210000,0
210025,210025,0
210050,210050,0
210075,210075,0
210100,210100,0
210125,210125,0
210150,210150,0
210175,210175,0
210200,210200,0
210225,210225,0
210250,210250,0
210275,210275,0
210300,210300,0
210325,210325,0
210350,210350,0
210375,210375,0
210400,210400,0
210425,210425,0
210450,210450,0
210475,210475,0
210500,210500,0
210525,210525,0
210550,210550,0
210575,210575,0
210600,210600,0
210625,210625,0
210650,210650,0
210675,210675,0
210700,210700,0
210725,210725,0
210750,210750,0
210775,210775,0
210800,210800,0
210825,210825,0
210850,210850,0
210875,210875,0
210900,210900,0
210925,210925,0
210950,210950,0
210975,210975,0
211000,211000,0
211025,211025,0
211050,211050,0
211075,211075,0
211100,211100,0
211125,211125,0
211150,211150,0
211175,211175,0
211200,211200,0
211225,211225,0
211250,211250,0
211275,211275,0
211300,211300,0
211325,211325,0
211350,211350,0
211375,211375,0
211400,211400,0
211425,211425,0
211450,211450,0
211475,211475,0
211500,211500,0
211525,211525,0
211550,211550,0
211575,211575,0
211600,211600,0
211625,211625,0
211650,211650,0
211675,211675,0
211700,211700,0
211725,211725,0
211750,211750,0
211775,211775,0
211800,211800,0
211825,211825,0
211850,211850,0
211875,211875,0
211900,211900,0
211925,211925,0
211950,211950,0
211975,211975,0
212000,212000,0
212025,212025,0
212050,212050,0
212075,212075,0
212100,212100,0
212125,212125,0
212150,212150,0
212175,212175,0
212200,212200,0
212225,212225,0
212250,212250,0
212275,212275,0
212300,212300,0
212325,212325,0
212350,212350,0
212375,212375,0
212400,212400,0
212425,212425,0
212450,212450,0
212475,212475,0
212500,212500,0
212525,212525,0
212550,212550,0
212575,212575,0
212600,212600,0
212625,212625,0
212650,212650,0
212675,212675,0
212700,212700,0
212725,212725,0
212750,212750,0
212775,212775,0
212800,212800,0
212825,212825,0
212850,212850,0
212875,212875,0
212900,212900,0
212925,212925,0
212950,212950,0
212975,212975,0
213000,213000,0
213025,213025,0
213050,213050,0
213075,213075,0
213100,213100,0
213125,213125,0
213150,213150,0
213175,213175,0
213200,213200,0
213225,213225,0
213250,213250,0
213275,213275,0
213300,213300,0
213325,213325,0
213350,213350,0
213375,213375,0
213400,213400,0
213425,213425,0
213450,213450,0
213475,213475,0
213500,213500,0
213525,213525,0
213550,213550,0
213575,213575,0
213600,213600,0
213625,213625,0
213650,213650,0
213675,213675,0
213700,213700,0
213725,213725,0
213750,213750,0
213775,213775,0
213800,213800,0
213825,213825,0
213850,213850,0
213875,213875,0
213900,213900,0
213925,213925,0
213950,213950,0
213975,213975,0
214000,214000,0
214025,214025,0
214050,214050,0
214075,214075,0
214100,214100,0
214125,214125,0
214150,214150,0
214175,214175,0
214200,214200,0
214225,214225,0
214250,214250,0
214275,214275,0
214300,214300,0
214325,214325,0
214350,214350,0
214375,214375,0
214400,214400,0
214425,214425,0
214450,214450,0
214475,214475,0
214500,214500,0
214525,214525,0
214550,214550,0
214575,214575,0
214600,214600,0
214625,214625,0
214650,214650,0
214675,214675,0
214700,214700,0
214725,214725,0
214750,214750,0
214775,214775,0
214800,214800,0
214825,214825,0
214850,214850,0
214875,214875,0
214900,214900,0
214925,214925,0
214950,214950,0
214975,214975,0
215000,215000,0
215025,215025,0
215050,215050,0
215075,215075,0
215100,215100,0
215125,215125,0
215150,215150,0
215175,215175,0
215200,215200,0
215225,215225,0
215250,215250,0
215275,215275,0
215300,215300,0
215325,215325,0
215350,215350,0
215375,215375,0
215400,215400,0
215425,215425,0
215450,215450,0
215475,215475,0
215500,215500,0
215525,215525,0
215550,215550,0
215575,215575,0
215600,215600,0
215625,215625,0
215650,215650,0
215675,215675,0
215700,215700,0
215725,215725,0
215750,215750,0
215775,215775,0
215800,215800,0
